Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Italy;Afghanistan;Export;  All Products;Export (US$ Thousand);1835,093;1659,508;2790,5;1152,369;914,189;1164,722;1053,252;1332,487;7327,681;19757,218;24702,249;26697,423;16204,156;26867,958;23986,223;49998,51;33992,478;37850,004;30399,341;37446,844;9455,829;8840,493827;10988,37291;18783,39983;13243,83437;13578,65899
Italy;Albania;Export;  All Products;Export (US$ Thousand);214502,352;312810,72;450449,6;234772,544;302244,928;309659,164;340643,383;418183,046;515083,934;625090,192;723930,621;758167,481;844293,3;1113514,818;1366319,698;1147290,701;1276720,336;1590141,858;1631199,359;1619900,782;1687158,845;1432827,398;1400345,762;1535054,35;1675575,171;1517892,408
Italy;Algeria;Export;  All Products;Export (US$ Thousand);934303,616;789403,392;734479,104;706945,536;875414,144;769252,776;791557,985;924030,09;1170680,1;1320352,044;1533491,393;1662249,909;1948012,358;2518691,672;4402727,926;3598025,132;3794070,394;4181947,262;4864907,254;5661870,509;5730037,037;4596283,059;4107150,135;3585183,905;3650128,797;3268810,548
Italy;American Samoa;Export;  All Products;Export (US$ Thousand);;;;;;;;;158,159;271,408;495,067;447,159;215,292;218,794;413,554;540,094;156,631;254,468;207,369;1339,088;185,125;469,9534949;193,2119076;488,9809737;331,0650438;192,5027709
Italy;Andorra;Export;  All Products;Export (US$ Thousand);21522,954;27574,306;26191,26;22248,828;27855,538;29736,188;25972,897;24385,973;24577,57;36203,709;41035,535;47271,637;43780,723;41714,976;42623,705;28692,146;25101,971;26262,781;18388,356;19237,412;19566,236;16458,741;23584,88665;29187,43125;26950,39068;26138,28286
Italy;Angola;Export;  All Products;Export (US$ Thousand);32738,78;42179,44;58128,712;54778,816;74603,736;55641,98;64133,451;106517,575;107101,745;103833,501;124032,157;164325,889;186567,836;267165,542;325895,321;709240,768;298703,902;332768,768;362790,943;460111,735;528660,119;285807,201;208439,421;317635,7157;235983,413;231464,5801
Italy;Anguila;Export;  All Products;Export (US$ Thousand);491,637;396,485;511,622;819,349;728,997;1493,157;831,14;1272,943;983,022;899,911;1044,191;749,36;3401,716;5182,661;1666,995;42429,308;754,102;814,373;1885,387;46458,358;1134,408;1210,538944;913,930473;288,904272;1861,649234;948,7672553
Italy;Antarctica;Export;  All Products;Export (US$ Thousand);;;;;;;3903,741;;;;;;1,138;;;;;;;;;;;;;
Italy;Antigua and Barbuda;Export;  All Products;Export (US$ Thousand);5800,245;6619,688;3490,88;4802,285;2572,311;3037,563;28607,256;3075,358;2664,854;4129,923;7342,841;9903,246;10235,556;65755,433;25503,971;6006,639;4781,346;5658,68;4730,824;6644,903;5770,499;6104,592412;4918,464784;10300,37591;8116,312979;10199,85925
Italy;Argentina;Export;  All Products;Export (US$ Thousand);1405411,2;1334995,584;1622798,208;1738716,8;1665911,936;1350421,239;997862,678;809796,517;287838,054;478026,28;700830,868;783559,119;957065,071;1166628,471;1287148,009;819180,267;1245059,755;1491000,008;1309124,038;1443252,242;1368094,925;1177612,541;1275767,284;1521056,854;1349282,373;986057,7415
Italy;Armenia;Export;  All Products;Export (US$ Thousand);6565,291;5219,276;12487,491;17101,842;21789,278;22474,898;28188,891;30248,065;35341,778;50701,451;65774,764;81708,055;108774,763;128077,912;153595,287;107598,984;117171,699;142003,129;154377,485;146993,112;170507,127;120213,5728;104562,8447;132565,7812;164720,8047;165150,0428
Italy;Aruba;Export;  All Products;Export (US$ Thousand);5029,74;6240,588;6758,88;6150,118;9478,191;8687,309;9845,978;11707,644;10337,319;8214,818;13276,396;13081,682;13950,724;16145,729;29069,33;36282,444;8960,103;34871,103;26794,522;10815,624;11481,097;8572,885792;7526,129582;6129,506832;8102,667951;28262,67488
Italy;Australia;Export;  All Products;Export (US$ Thousand);1306542,848;1543125,76;1771828,224;1719526,528;1760634,112;1803862,641;1784531,331;1760866,548;2102732,492;2590902,173;3140543,174;3108390,643;3176864,451;3790998,756;4208395,061;3278669,862;3555491,114;4157686,069;4768437,027;4988413,236;4780638,394;3960455,739;3950320,206;4370925,729;4731434,617;4481361,497
Italy;Austria;Export;  All Products;Export (US$ Thousand);4670323,712;5485601,792;5965005,824;5403161,6;5524969,984;5514072,777;5303280,456;5268355,967;5632932,905;6967776,508;8621189,681;9173100,316;10295720,61;12062675,44;12857244,05;9662674,76;10549727,86;12087523,48;11150628,64;11290788,01;11146224,6;9517080,03;9829622,241;10758403,3;12111370,69;11715396,79
Italy;Azerbaijan;Export;  All Products;Export (US$ Thousand);12216,211;13341,04;15140,752;23046,112;31313,162;21359,537;37331,333;38243,337;54016,607;120157,49;156285,179;124185,188;189654,831;238844,95;409861,27;286178,56;275432,958;483356,569;515369,323;684315,457;789092,56;730257,005;299905,3576;285191,5575;330025,6664;336004,7441
Italy;Bahamas, The;Export;  All Products;Export (US$ Thousand);277535,104;10357,773;458007,904;299761,952;482920,032;264630,905;591812,272;236789,351;329546,698;602112,986;426076,943;63553,671;61936,984;654091,598;105372,248;354962,952;23176,699;106399,699;26031,601;79837,678;88766,969;88816,09603;35448,10485;67889,3483;228468,3463;103223,6475
Italy;Bahrain;Export;  All Products;Export (US$ Thousand);72216,984;71822,16;82667,648;80484,12;160970,976;98579,48;96978,034;97541,864;107475,965;128528,563;148666,222;172532,548;238448,206;249618,655;317028,579;216552,407;178952,686;220250,805;251104,636;210767,92;295904,787;224493,9426;290419,9313;283423,377;315958,8286;298036,5558
Italy;Bangladesh;Export;  All Products;Export (US$ Thousand);99360,312;75037,144;91234,2;113828,584;75711,192;69279,95;87291,535;155315,448;105464,497;125222,862;164808,26;179124,559;204862,014;251227,497;243885,316;235910,53;332172,198;432390,502;301410,115;362619,897;420183,092;524468,4816;562432,9875;821008,3161;875278,6775;614302,1079
Italy;Barbados;Export;  All Products;Export (US$ Thousand);2677,375;5167;4250,307;6505,396;4992,675;4747,816;6036,536;8017,178;16862,445;23031,383;12542,733;8906,816;10775,922;50742,337;12876,056;10342,84;26464,739;8283,716;11753,55;8686,12;28377,263;8133,261282;8912,107248;9193,841079;8047,636396;9291,712701
Italy;Belarus;Export;  All Products;Export (US$ Thousand);60962,484;86104,264;107742,592;130542,304;140112,08;120742,401;124609,471;134698,024;174618,786;207375,867;229114,114;288342,688;348555,955;454786,303;686151,357;499942,444;516536,33;643693,155;594564,386;702478,816;664854,815;417670,8881;308685,6795;412973,4227;456906,7317;466901,0174
Italy;Belgium;Export;  All Products;Export (US$ Thousand);;;;;;6227917,99;6524985,699;7303435,594;7720543,453;7983660,821;8689007,481;9839991,228;11762842,33;14453305,46;14261734,32;11007387,21;11302295,53;13224557,72;13292829,8;15164182,32;17519806,11;14986803,8;14964756,81;15239360,97;15723064,13;15961319,27
Italy;Belgium-Luxembourg;Export;  All Products;Export (US$ Thousand);5667375,104;6635686,912;6984695,296;6428549,12;6592521,728;;;;;;;;;;;;;;;;;;;;;
Italy;Belize;Export;  All Products;Export (US$ Thousand);2608,214;2677,01;1973,191;15618,663;3274,741;442,095;883,559;1914,487;739,433;1629,754;3911,706;11375,022;2741,048;19178,819;8879,442;4611,432;7193,129;10400,834;7734,126;16353,159;35950,11;34262,25726;7315,921568;10459,37748;8200,614098;22786,92146
Italy;Benin;Export;  All Products;Export (US$ Thousand);11089,802;18723,694;24951,508;27332,164;41229,36;42400,492;40106,255;49802,244;64446,817;51826,278;40712,962;45736,934;35168,17;41816,262;78221,087;56727,843;59478,549;96268,505;62082,399;86500,492;96224,507;70920,75924;41644,42989;39320,76004;50193,71605;42639,86027
Italy;Bermuda;Export;  All Products;Export (US$ Thousand);13565,266;6645,295;19282,118;28861,236;72639,496;21703,93;290426,53;480179,666;479893,071;10094,026;47306,064;72264,21;506302,468;516858,963;1209616,09;12053,693;12171,321;8592,676;7878,689;7561,155;7696,463;8080,167546;123143,5347;11912,74771;21112,52307;8114,969529
Italy;Bhutan;Export;  All Products;Export (US$ Thousand);181,737;35,657;29,168;231,948;33,721;265,951;1166,723;724,917;365,999;1059,439;456,767;2029,957;294,102;735,954;1521,161;2282,178;2421,027;5059,182;2463,51;2040,581;1707,352;3328,177343;2028,271387;2121,727074;1508,576768;487,5794227
Italy;Bolivia;Export;  All Products;Export (US$ Thousand);20172,048;32479,576;44968,736;41767,448;40864,52;33196,426;26619,9;23095,864;22723,91;19538,157;21385,554;21716,409;23754,917;30436,005;41548,953;49093,414;59296,293;85274,078;95553,201;129385,357;132171,276;118653,1049;89480,27553;128761,914;91449,61309;70351,48448
Italy;Bonaire;Export;  All Products;Export (US$ Thousand);;;;;;;;;;;;;;;;;;;;771,145;733,302;416,7932509;893,0938947;512,7526868;2991,338364;1165,260244
Italy;Bosnia and Herzegovina;Export;  All Products;Export (US$ Thousand);27311,728;69297,032;213720,832;273585,792;268672,896;294357,464;315018,81;347332,502;384297,396;436580,704;502851,85;579387,765;542095,993;704589,608;931440,878;718030,022;727718,32;810877,638;747579,576;769421,816;801913,691;705956,351;718911,0708;780283,0907;837237,1724;777976,3107
Italy;Botswana;Export;  All Products;Export (US$ Thousand);;;;;;;4849,056;10454,957;3890,533;3462,151;5806,295;2836,093;3666,419;8403,785;9236,094;5168,869;6357,054;10659,557;9267,681;5795,898;4412,734;5876,934925;7350,066471;9215,808447;7350,051219;27643,78347
Italy;Bouvet Island;Export;  All Products;Export (US$ Thousand);;;;;;;;;;30,814;;118,412;169,664;130,282;;31,97;39,428;23,563;2,747;25,978;;;13,74647666;;7953,030007;
Italy;Brazil;Export;  All Products;Export (US$ Thousand);1845949,568;3169723,392;3113239,552;3516478,72;3299230,72;2524489,658;2245070,082;2319295,305;1869571,36;1799996,247;2213416,702;2502034,325;2776739,73;3487950,42;4859180,391;3733535,295;5091821,786;6612768,765;6419382,246;6737732,686;6228156,371;4288709,392;3541615,908;4287671,005;4574679,725;4440077,601
Italy;British Indian Ocean Ter.;Export;  All Products;Export (US$ Thousand);10,871;;1,892;3,184;8,353;216,756;263,599;147,234;25,322;52,772;422,348;88,748;528,953;;;432,254;;60,633;;;;;1,136319344;;;31,17866236
Italy;British Virgin Islands;Export;  All Products;Export (US$ Thousand);54994,244;36433,94;45001,36;64313,356;59744,56;67174,366;146267,794;123612,688;128591,279;103163,061;152069,979;175247,923;142280,946;239407,354;149634,387;244541,916;156639,13;587292,479;291617,63;276819,969;280949,793;213432,1702;178728,7452;151712,8397;228769,8345;143633,0714
Italy;Brunei;Export;  All Products;Export (US$ Thousand);36082,892;53452,5;52195,056;89442,048;30755,764;5648,22;37812,37;13503,005;7655,6;44010,8;11649,532;10840,384;25772,287;9976,859;17534,609;21048,754;10837,838;20435,718;50243,46;40321,91;60233,111;52853,7618;24422,6959;18674,55725;23883,69858;70923,30899
Italy;Bulgaria;Export;  All Products;Export (US$ Thousand);312627,04;425230,816;377382,528;374168,768;445122,272;483353,972;546048,431;676993,673;804351,937;1049029,492;1305192,586;1527854,009;1961114,751;2439770,465;2814644,955;1705023,416;1867642,621;2222633,136;2087163,591;2541514,264;2501374,462;2222490,292;2310133,779;2474748,466;2885455,239;2894885,297
Italy;Bunkers;Export;  All Products;Export (US$ Thousand);742041,408;234992,512;1011378,112;1018722,176;1019543,104;979279,18;;366385,116;300524,673;405078,804;484968,926;548979,33;532044,53;907662,345;2549340,726;1214210,393;1316047,329;2260485,589;2349199,03;2123054,283;1798954,753;1360413,008;1121708,523;1500777,163;3057392,536;3482845,62
Italy;Burkina Faso;Export;  All Products;Export (US$ Thousand);6504,514;7437,958;12800,985;15554,454;13617,508;13659,283;13740,933;16187,903;20182,834;24483,757;34221,83;28047,264;28561,916;35434,733;29526,861;22536,306;25201,813;48698,638;50217,002;51043,825;49700,349;66458,13755;54549,49693;58001,40935;75466,07801;71350,14208
Italy;Burundi;Export;  All Products;Export (US$ Thousand);13885,872;15214,542;7455,588;3944,745;4489,934;3953,92;3714,482;3049,04;4188,631;3907,833;11472,54;19343,836;41664,04;6150,731;6363,589;5757,719;10539,264;8237,687;5607,216;6260,229;4541,582;3383,082327;4594,40244;3478,095375;3844,091113;5704,48165
Italy;Cambodia;Export;  All Products;Export (US$ Thousand);1377,394;2082,143;22316,922;2624,386;3785,526;6034,359;14151,878;12218,226;10054,004;8595,802;12356,166;9689,792;14432,543;20901,581;15756,34;19173,978;20934,697;34300,762;53529,852;37902,368;52007,624;60636,72724;68828,64402;80541,49005;87276,27217;158624,285
Italy;Cameroon;Export;  All Products;Export (US$ Thousand);33841,8;52042,388;57259,4;59381,036;67598,208;55090,042;61497,19;75116,786;84357,715;91769,039;82270,72;80387,343;76711,605;121151,267;119434,475;99637,379;109435,082;226749,548;143953,125;150701,323;128132,586;108953,6572;125227,592;140486,4652;240353,4877;132407,7756
Italy;Canada;Export;  All Products;Export (US$ Thousand);1741542,528;2151176,96;1820071,296;1871174,912;1974684,416;1993959,954;2151893,818;2300640,554;2319216,914;2724538,837;3000519,597;3014192,829;3371508,745;3747034,594;3808892,385;2871894,801;3137980,072;3749816,582;3709759,571;4017027,842;4109317,917;4078508,306;4090435,367;4439216,853;4858541,855;5032274,421
Italy;Cape Verde;Export;  All Products;Export (US$ Thousand);2972,051;5093,964;7745,13;4390,947;5335,11;10807,217;12432,198;14218,066;10416,847;10536,01;17379,781;35818,645;31479,263;35899,542;34171,769;30987,39;16344,519;49714,139;13559,888;10757,441;36047,328;8928,534454;23983,80666;50528,21209;19982,90367;14857,7958
Italy;Cayman Islands;Export;  All Products;Export (US$ Thousand);20786,922;46633,56;15903,402;25818,402;62203,212;29179,651;56674,179;91803,911;75684,213;123436,391;192026,943;262294,517;242263,259;223816,446;276793,496;163082,316;127064,506;321249,111;140499,875;190718,27;363178,115;210805,0368;194299,5046;210958,044;261769,1689;328592,2204
