Reporter Name;Partner Name;Trade Flow;Indicator;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Italy;Afghanistan;Export;Export Partner Share (%);0,001;0,0007;0,0011;0,0005;0,0004;0,0005;0,0004;0,0005;0,0029;0,0066;0,007;0,0072;0,0039;0,0054;0,0044;0,0123;0,0076;0,0072;0,0061;0,0072;0,0018;0,0019;0,0024;0,0037;0,0024;0,0025
Italy;Albania;Export;Export Partner Share (%);0,1129;0,1357;0,1787;0,0985;0,1248;0,1318;0,142;0,1712;0,2026;0,2087;0,2048;0,2033;0,2024;0,2226;0,2522;0,2823;0,2857;0,3039;0,3252;0,3127;0,3186;0,3135;0,3033;0,3025;0,3047;0,2823
Italy;Algeria;Export;Export Partner Share (%);0,4917;0,3426;0,2913;0,2967;0,3616;0,3274;0,3299;0,3783;0,4605;0,4409;0,4337;0,4457;0,467;0,5035;0,8126;0,8852;0,8491;0,7992;0,97;1,0928;1,0821;1,0058;0,8896;0,7065;0,6638;0,6079
Italy;American Samoa;Export;Export Partner Share (%);;;;;;;;;0,0001;0,0001;0,0001;0,0001;0,0001;0;0,0001;0,0001;0;0;0;0,0003;0;0,0001;0;0,0001;0,0001;0
Italy;Andorra;Export;Export Partner Share (%);0,0113;0,012;0,0104;0,0093;0,0115;0,0127;0,0108;0,01;0,0097;0,0121;0,0116;0,0127;0,0105;0,0083;0,0079;0,0071;0,0056;0,005;0,0037;0,0037;0,0037;0,0036;0,0051;0,0058;0,0049;0,0049
Italy;Angola;Export;Export Partner Share (%);0,0172;0,0183;0,0231;0,023;0,0308;0,0237;0,0267;0,0436;0,0421;0,0347;0,0351;0,0441;0,0447;0,0534;0,0602;0,1745;0,0668;0,0636;0,0723;0,0888;0,0998;0,0625;0,0451;0,0626;0,0429;0,043
Italy;Anguila;Export;Export Partner Share (%);0,0003;0,0002;0,0002;0,0003;0,0003;0,0006;0,0003;0,0005;0,0004;0,0003;0,0003;0,0002;0,0008;0,001;0,0003;0,0104;0,0002;0,0002;0,0004;0,009;0,0002;0,0003;0,0002;0,0001;0,0003;0,0002
Italy;Antarctica;Export;Export Partner Share (%);;;;;;;0,0016;;;;;;0;;;;;;;;;;;;;
Italy;Antigua and Barbuda;Export;Export Partner Share (%);0,0031;0,0029;0,0014;0,002;0,0011;0,0013;0,0119;0,0013;0,001;0,0014;0,0021;0,0027;0,0025;0,0131;0,0047;0,0015;0,0011;0,0011;0,0009;0,0013;0,0011;0,0013;0,0011;0,002;0,0015;0,0019
Italy;Argentina;Export;Export Partner Share (%);0,7397;0,5793;0,6437;0,7297;0,6881;0,5747;0,4159;0,3315;0,1132;0,1596;0,1982;0,2101;0,2294;0,2332;0,2376;0,2015;0,2786;0,2849;0,261;0,2786;0,2584;0,2577;0,2763;0,2998;0,2454;0,1834
Italy;Armenia;Export;Export Partner Share (%);0,0035;0,0023;0,005;0,0072;0,009;0,0096;0,0117;0,0124;0,0139;0,0169;0,0186;0,0219;0,0261;0,0256;0,0283;0,0265;0,0262;0,0271;0,0308;0,0284;0,0322;0,0263;0,0226;0,0261;0,03;0,0307
Italy;Aruba;Export;Export Partner Share (%);0,0026;0,0027;0,0027;0,0026;0,0039;0,0037;0,0041;0,0048;0,0041;0,0027;0,0038;0,0035;0,0033;0,0032;0,0054;0,0089;0,002;0,0067;0,0053;0,0021;0,0022;0,0019;0,0016;0,0012;0,0015;0,0053
Italy;Australia;Export;Export Partner Share (%);0,6876;0,6696;0,7028;0,7217;0,7272;0,7677;0,7438;0,7209;0,8271;0,8652;0,8883;0,8334;0,7616;0,7579;0,7768;0,8066;0,7957;0,7946;0,9508;0,9628;0,9028;0,8666;0,8557;0,8614;0,8604;0,8334
