Reporter Name;Partner Name;Trade Flow;Indicator;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Italy;Afghanistan;Export;Export Share in Total Products (%);0,6947;0,7554;0,7257;0,518;0,3738;0,727;0,458;0,5217;3,0987;5,5684;6,9031;7,8171;6,4116;7,3382;6,918;5,8326;8,1723;8,9476;7,8712;5,6925;4,4499;3,5586;4,7427;5,2418;4,878;5,087
Italy;Albania;Export;Export Share in Total Products (%);37,2497;42,4255;43,4377;36,2826;37,1885;40,7146;43,6928;44,6369;46,817;47,9435;49,4195;49,41;49,7583;51,9235;54,2129;54,0962;55,3187;55,2398;55,814;55,8942;58,8104;59,5568;61,1857;61,9123;62,2629;63,3281
Italy;Algeria;Export;Export Share in Total Products (%);30,3841;31,5027;33,4024;34,0033;36,2957;36,2484;36,3655;37,5417;39,102;39,5486;40,7642;41,2558;41,5178;40,9606;42,2838;41,9412;40,8394;41,7851;44,1637;44,2627;45,0358;44,8299;45,0559;45,8043;44,467;44,0425
Italy;American Samoa;Export;Export Share in Total Products (%);;;;;;;;;0,1686;0,2531;0,3378;0,3371;0,1682;0,1334;0,1996;0,1336;0,2221;0,1332;0,3801;0,2465;0,1342;0,291;0,3132;0,3375;0,2936;0,2487
Italy;Andorra;Export;Export Share in Total Products (%);10,6048;10,4737;9,9938;10,3191;11,088;10,4902;10,3247;10,4758;10,2234;11,9595;12,6451;10,8091;11,646;10,1179;9,4457;8,1033;8,4832;8,548;7,2451;7,2165;6,7755;8,5049;9,3289;10,2137;10,0497;10,1063
Italy;Angola;Export;Export Share in Total Products (%);12,4234;13,7199;14,2442;14,8363;14,3272;12,5052;13,9883;16,5484;14,2074;14,7648;14,3762;15,2971;16,2287;17,545;16,6962;18,2102;17,6771;19,3162;22,4508;23,3303;26,2299;22,4485;16,5772;19,7525;20,1897;17,9742
Italy;Anguila;Export;Export Share in Total Products (%);0,4087;0,5512;0,4354;0,518;0,7683;1,1217;1,2906;0,7095;0,6113;0,5695;0,4433;0,4635;1,009;0,845;0,5765;0,6679;0,8883;0,9103;1,3417;0,9413;1,0733;1,1191;0,9843;0,36;0,9711;0,7461
Italy;Antarctica;Export;Export Share in Total Products (%);;;;;;;0,8951;;;;;;0,021;;;;;;;;;;;;;
Italy;Antigua and Barbuda;Export;Export Share in Total Products (%);4,1479;4,41;4,5822;4,9316;4,2566;4,9024;4,2881;4,5284;4,4899;4,7036;5,5098;7,185;6,7269;6,2486;6,2528;4,8753;4,3527;4,5293;4,025;4,3702;4,3605;4,7225;4,8993;6,2542;5,9395;6,421
Italy;Argentina;Export;Export Share in Total Products (%);48,0384;46,3863;48,2894;49,9586;51,5365;50,27;50,2498;48,3723;34,1062;40,4556;43,2974;43,1732;44,1875;45,119;45,0333;43,1656;44,2816;45,4485;43,0456;43,1197;41,5474;43,778;45,0559;45,7368;45,0994;43,9521
Italy;Armenia;Export;Export Share in Total Products (%);0,8991;1,3067;2,9028;5,1803;6,7276;7,7898;11,199;12,02;12,247;12,2548;12,8985;15,6553;16,6491;17,8563;19,5122;19,1451;20,6529;22,0471;24,1055;24,4957;23,6136;23,4557;21,9463;24,207;25,4743;26,6787
Italy;Aruba;Export;Export Share in Total Products (%);3,1876;3,3483;3,4833;3,7091;3,7998;3,3444;3,6844;4,2154;4,258;4,1131;3,8632;4,1719;3,1532;3,2911;2,9712;2,8718;2,9092;3,1306;2,8399;4,1909;5,3891;5,4163;5,0336;3,8695;4,065;4,5218
Italy;Australia;Export;Export Share in Total Products (%);51,7164;52,5725;54,8829;55,1596;55,2949;55,7956;57,015;56,3022;57,2302;58,4265;57,8847;58,1121;57,9357;59,3729;58,0931;56,9679;58,2945;59,5915;60,5322;59,4352;59,9955;59,9821;60,4922;61,4398;61,1789;61,2706
Italy;Austria;Export;Export Share in Total Products (%);77,2374;76,7456;77,6488;77,8492;78,5299;79,435;83,6803;82,0117;82,6728;80,9534;80,6418;81,8373;82,0896;84,056;84,6785;84,35;85,8095;85,8126;86,1583;86,5083;87,0081;87,444;87,047;86,8616;87,1951;88,2885
Italy;Azerbaijan;Export;Export Share in Total Products (%);2,5133;1,96;4,2297;6,8172;7,4958;7,3743;9,7211;10,5175;12,2681;14,8492;15,5161;17,0038;18,9405;20,7694;22,7273;23,2858;23,6509;27,9085;29,9866;32,4518;33,6315;32,4082;29,5526;29,1114;29,9684;29,6405
Italy;Bahamas, The;Export;Export Share in Total Products (%);2,5746;3,4096;4,6444;4,7866;5,3156;4,6323;4,8709;4,5701;4,5531;4,8724;5,1932;4,6987;5,1503;5,4703;5,4102;5,4541;4,7968;5,3064;5,076;5,065;5,3444;6,7144;6,5772;7,5591;7,8817;8,5915
Italy;Bahrain;Export;Export Share in Total Products (%);18,5125;18,8036;18,4325;18,5039;21,5116;20,7312;22,1274;22,8923;22,7867;22,8011;23,9181;24,9052;23,8386;25,328;25,9867;25,6456;25,0056;25,0666;28,6673;28,104;29,9642;31,4458;31,4318;31,4286;33,7398;31,4492
Italy;Bangladesh;Export;Export Share in Total Products (%);8,4185;10,9841;10,8231;13,1993;12,2093;13,1491;12,8226;14,5033;14,0809;14,9968;14,9884;15,2339;15,1356;15,7661;15,7206;16,2289;17,2996;17,6954;20,6172;20,5737;22,9428;24,06;24,3177;25,4218;26,355;26,43
Italy;Barbados;Export;Export Share in Total Products (%);2,3702;2,8991;2,7784;3,0046;3,3638;3,843;4,9334;4,7997;4,9115;4,0498;4,771;4,1719;4,0151;4,781;4,612;4,0516;4,5303;3,9964;3,5555;4,0789;3,9132;4,342;4,4072;5,1069;5,262;5,4036
Italy;Belarus;Export;Export Share in Total Products (%);15,1206;16,374;20,1327;19,8301;19,6013;17,5114;17,7977;20,889;21,5219;24,6572;25,6703;26,5487;30,2922;31,8435;33,7916;31,9012;34,3771;34,4139;34,9284;35,8584;34,9508;32,744;33,1544;35,2081;36,0885;36,3554
Italy;Belgium;Export;Export Share in Total Products (%);;;;;;76,049;80,4122;79,1945;80,1012;78,1903;78,6152;80,1306;80,7652;83,6335;82,1286;82,2128;83,8108;84,0142;84,0564;84,3568;84,3023;84,333;84,9888;85,4893;85,8175;85,8693
Italy;Belgium-Luxembourg;Export;Export Share in Total Products (%);74,8468;74,949;77,0267;76,4816;76,1005;;;;;;;;;;;;;;;;;;;;;
Italy;Belize;Export;Export Share in Total Products (%);0,613;0,6125;0,4354;0,4559;0,3945;0,6647;1,2073;0,7721;1,2226;1,0757;0,8233;0,6743;0,7568;1,3787;0,9756;1,1799;1,4435;2,3091;2,5045;3,16;3,0859;2,7753;2,774;2,7447;1,7841;1,2435
Italy;Benin;Export;Export Share in Total Products (%);5,1287;6,6354;6,78;7,3145;7,1221;8,0806;8,2431;8,4933;8,5793;8,5847;8,0008;7,6696;7,757;8,1165;7,7162;8,2591;8,3278;8,1261;7,8936;9,368;8,7657;9,154;9,0828;8,2565;9,0786;8,1167
Italy;Bermuda;Export;Export Share in Total Products (%);3,4532;3,6341;3,6077;4,2064;4,5266;4,3;4,7669;5,4674;6,5346;6,1169;5,5943;5,7733;5,2764;5,1368;6,2084;4,5414;4,3971;4,0409;3,7567;3,4962;3,4884;4,3196;4,8322;5,3543;5,2168;5,1775
Italy;Bhutan;Export;Export Share in Total Products (%);0,1226;0,0817;0,1451;0,145;0,0623;0,0831;0,2498;0,2922;0,2951;0,4429;0,4011;0,4214;0,2523;0,4003;0,3104;0,6233;0,4664;0,5107;0,4696;0,6948;0,8945;1,0519;1,0515;1,1699;1,4228;1,1078
Italy;Bolivia;Export;Export Share in Total Products (%);9,2971;10,8003;11,9428;11,9561;13,2267;12,069;10,4704;10,4132;10,3288;10,5041;10,5341;11,1884;11,4568;11,6077;11,7517;11,9991;13,28;14,6314;15,161;15,957;16,9723;18,1737;18,0537;18,5377;18,383;18,6073
Italy;Bonaire;Export;Export Share in Total Products (%);;;;;;;;;;;;;;;;;;;;1,0982;1,3417;0,6714;1,0738;0,9449;1,355;1,1983
Italy;Bosnia and Herzegovina;Export;Export Share in Total Products (%);10,9522;20,784;36,5125;43,908;44,0407;44,5368;45,3997;45,4299;47,2386;46,1295;47,3929;46,5655;44,5869;45,964;46,6519;45,0134;45,4586;45,4485;45,0805;45,8763;45,7737;46,1728;47,3378;47,4466;47,832;48,3382
Italy;Botswana;Export;Export Share in Total Products (%);;;;;;;1,3114;1,2938;1,1383;1,0968;1,7099;1,1167;1,2403;1,4899;1,5743;1,5806;1,9543;2,198;2,1467;2,0843;1,6324;2,3277;2,7517;2,4747;2,2358;3,8209
Italy;Bouvet Island;Export;Export Share in Total Products (%);;;;;;;;;;0,0422;;0,0421;0,021;0,0222;;0,0668;0,0222;0,0444;0,0224;0,0448;;;0,0224;;0,0452;
Italy;Brazil;Export;Export Share in Total Products (%);46,5877;51,8579;52,9961;54,6415;55,6894;53,8222;55,6411;57,0952;55,0379;53,4486;53,0505;53,1395;53,9836;55,8372;57,6053;56,8566;59,4937;60,9902;60,4875;61,6091;60,5546;59,333;57,8971;59,3476;59,6432;59,1228
Italy;British Indian Ocean Ter.;Export;Export Share in Total Products (%);0,0409;;0,0207;0,0414;0,0415;0,0208;0,0208;0,0835;0,1054;0,0844;0,19;0,0632;0,3153;;;0,1113;;0,0222;;;;;0,0224;;;0,0226
Italy;British Virgin Islands;Export;Export Share in Total Products (%);2,2272;1,3475;1,5965;2,0514;2,0349;1,9526;2,0192;2,0242;1,9604;1,8983;2,0055;2,3599;2,1232;1,9346;2,0399;1,7809;1,9987;2,2869;2,3256;2,2636;2,2138;1,3876;2,1253;1,7548;2,1229;1,8539
Italy;Brunei;Export;Export Share in Total Products (%);6,3956;5,9208;7,3191;8,2263;5,814;3,1575;3,2681;4,1736;3,3727;4,3451;2,7866;3,308;3,4265;3,7136;3,082;3,8958;3,2201;3,8854;4,8524;5,3339;5,3667;5,573;5,9955;5,0394;5,262;5,4262
