Reporter Name;Partner Name;Trade Flow;Product Group;Indicator;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Italy;Afghanistan;Import;  All Products;Import (US$ Thousand);4211,227;611,198;941,007;971,157;607,755;379,867;1404,327;762,845;423,546;674,95;3769,356;1966,056;1214,282;680,719;1345,239;300,509;763,42;1524,284;4845,1;6605,286;6837,986;2007,909166;1218,48822;1670,569723;3138,94252;4235,036111
Italy;Albania;Import;  All Products;Import (US$ Thousand);87534,096;115834,072;168119,648;131271,672;163747,104;168239,886;175910,566;227666,543;270848,073;336860,608;422078,685;439181,783;517973,13;629892,227;704354,735;637458,693;765604,442;913612,973;936752,978;1087432,648;1155245,714;899128,7464;992290,0514;1152062,952;1322708,526;1242467,666
Italy;Algeria;Import;  All Products;Import (US$ Thousand);1627021,44;2288743,424;2713152,768;2969686,272;2559515,136;998206,188;1443760,825;1038574,844;1117353,783;1614681,781;1866179,255;1910667,719;2218412,48;1083620,604;1536528,443;8418309,929;10682493,37;11568209,62;11594641,89;8327998,056;5093361,113;3349722,433;4733282,732;5601144,016;6757608,833;4860706,644
Italy;American Samoa;Import;  All Products;Import (US$ Thousand);;;;;;;;;;29,795;9,892;2,908;42,811;12,895;4,6;5,219;19,863;21,15;5,096;10,767;28,587;31,73239411;2,022238363;7,19322738;1,50232411;13,27286215
Italy;Andorra;Import;  All Products;Import (US$ Thousand);1601,121;1472,137;1577,995;1923,502;1509,268;2205,327;506,042;1597,577;1606,85;2894,295;3855,326;2809,815;1437,205;2720,429;2096,146;823,781;496,566;662,123;2215,899;1525,384;964,089;1690,695037;503,4079202;600,9321799;661,6951673;675,1033366
Italy;Angola;Import;  All Products;Import (US$ Thousand);123305,08;114661,176;190638,08;16729,354;54537,468;9558,22;20043,422;55625,881;289331,373;202681,88;35355,777;83736,622;51660,531;195529,422;453740,257;36798,896;348781,371;2068356,894;877520,11;720623,566;1232641,645;971600,2258;452291,7314;391096,9149;522644,1622;528525,8141
Italy;Anguila;Import;  All Products;Import (US$ Thousand);;;48,184;;;14,964;0,59;8,121;2,357;2,154;1,205;233,919;;;;2,739;;39,604;;;;;;24,30694002;3,100390354;10,50632968
Italy;Antarctica;Import;  All Products;Import (US$ Thousand);;;;;;;1297,495;;;;;;;;;;;;;;;;;;;
Italy;Antigua and Barbuda;Import;  All Products;Import (US$ Thousand);1,083;;3125,127;31,842;52,629;107,692;10,266;7,51;9736,25;3440,717;422,569;14525,246;708,409;637,433;6089,564;3645,966;33,793;130,282;134,904;60,87;43,298;422,3021725;71,15004515;54,40958546;335,7534815;322,8334021
Italy;Argentina;Import;  All Products;Import (US$ Thousand);696629,44;862239,872;850351,616;833298,944;798914,496;808960,487;883671,415;903808,033;1012914,086;1109856,015;1210908,964;1182794,381;1273084,934;1569826,55;2008513,682;1562261,006;1709690,261;2162322,054;1318896,18;1092499,761;1172030,767;946568,446;1085399,17;1139510,699;1204815,991;1106418,093
Italy;Armenia;Import;  All Products;Import (US$ Thousand);843,268;1139,696;681,542;672,12;2669,816;1146,203;2733,16;6708,582;7037,693;10383,769;15729,827;15075,05;19857,059;20487,818;17613,381;7875,387;13541,477;20236,842;17014,543;26598,448;38299,896;34211,91001;33332,47196;37510,86186;50300,85249;58841,45513
Italy;Aruba;Import;  All Products;Import (US$ Thousand);6,038;1071,252;6635,151;3127,478;2667,09;39868,942;1879,704;85,022;27,611;7921,017;21178,126;13,975;26076,13;10970,656;16286,346;5195,904;2119,712;27,957;17,833;42,407;11416,024;9,66125394;73,69443696;10,23794982;284,7808419;184,1742576
Italy;Australia;Import;  All Products;Import (US$ Thousand);913992,64;1112818,56;1180222,592;1212553,6;1414961,152;1008333,466;1255474,609;1363125,117;1235672,845;1237057,566;1352773,21;1440323,895;1569769,126;1758203,06;1749921,318;950252,801;1116896,727;1552360,306;985319,9;786281,993;677991,397;560817,6034;536993,7527;676502,8383;696740,4125;568632,0405
Italy;Austria;Import;  All Products;Import (US$ Thousand);3761812,224;4749699,584;4802459,136;4777950,72;5180136,448;5478889,609;5531304,108;5787478,075;6773951,015;8469526,168;9600473,218;9590415,388;11262733,34;12439947,66;12843451,02;10012689,92;11197393,91;13135862,66;11557156,98;11751661,22;10944915,58;9412099,852;9321367,001;10562395,29;11379056,62;11396783,69
Italy;Azerbaijan;Import;  All Products;Import (US$ Thousand);13572,773;19848,096;12418,638;34049,732;20967,86;133553,323;435691,849;606271,489;550845,798;717118,075;702384,003;1216478,786;2889946,355;3662356,334;6209701,429;4526182,165;7074972,902;11466011,01;9197081,071;9151122,699;7288361,076;4804165,55;3231700,95;5232883,093;6564973,731;5496125,765
Italy;Bahamas, The;Import;  All Products;Import (US$ Thousand);3180,018;18603,696;2040,128;546,588;2962,061;10966,106;17637,594;4336,655;8586,646;32862,55;3972,614;7093,944;44487,746;6006,13;5022,888;3134,846;3966,573;2968,123;6379,008;7633,356;4830,515;5155,214044;2140,76609;930,6309946;1725,889086;2539,171863
Italy;Bahrain;Import;  All Products;Import (US$ Thousand);14684,675;21210,004;17260,224;22979,528;52784,912;49879,431;43184,06;58240,36;47338,938;63110,186;45713,514;64015,485;47898,298;104696,461;112747,722;49736,773;148679,551;301919,115;207684,107;194693,722;98104,852;87637,68705;136372,0412;124486,994;334131,0389;137061,0125
Italy;Bangladesh;Import;  All Products;Import (US$ Thousand);222649,088;252734,368;233315,488;255797,664;272130,08;236273,821;281719,374;292596,192;265255,11;291218,692;376701,605;391639,313;534101,273;531580,511;637451,678;624876,41;725671,696;995431,027;989717,704;1148504,314;1403711,691;1427165,526;1462846,506;1560630,272;1652586,454;1649385,785
Italy;Barbados;Import;  All Products;Import (US$ Thousand);286,7;310,871;802,454;259,082;646,256;1394,973;1438,89;2367,425;2167,286;1218,397;842,359;643,528;617,287;722,797;3574,564;1728,061;1407,194;754,791;1114,352;524,023;748,317;768,0918725;430,6549082;597,739458;8923,767389;501,7623321
Italy;Belarus;Import;  All Products;Import (US$ Thousand);55524,484;83371,496;63395,92;66032,6;68553,8;64037,366;85825,621;83218,84;98935,069;95948,712;123333,895;135206,414;138133,382;151714,013;207162,674;115389,469;97368,645;125872,096;226323,961;185678,27;192899,784;125453,7661;77429,03774;86020,57963;98989,08947;93749,65582
Italy;Belgium;Import;  All Products;Import (US$ Thousand);;;;;;9306793,752;9593752,289;10296153,46;10701091,69;12633084,01;15670589,72;17075314,35;18571731,52;21841898,12;20762789,1;16650676,71;17682503,69;20245834,49;18707598;19943669,06;20031815,97;18988967,91;19642392,3;20047180,82;22799985,9;22151577,47
Italy;Belgium-Luxembourg;Import;  All Products;Import (US$ Thousand);7970004,992;9759210,496;9994789,888;9724843,008;10380249,09;;;;;;;;;;;;;;;;;;;;;
Italy;Belize;Import;  All Products;Import (US$ Thousand);5726,616;6727,236;2422,684;2278,926;3874,471;12872,799;9863,778;3080,699;78,246;3716,219;237,724;406,557;156,409;46,083;20018,585;281,761;172,246;59,666;2089,158;2998,443;18104,003;245,4690582;14950,48123;28665,74772;123,90687;4350,649402
Italy;Benin;Import;  All Products;Import (US$ Thousand);12606,362;10836,351;16718,463;18520,32;15177,045;12795,225;42064,855;27569,241;26671,838;12670,578;5121,169;5494,605;3973,449;5901,39;3714,396;1915,5;11463,31;17637,272;3854,821;4510,305;3644,871;6367,672574;7566,607512;5965,249583;3226,074955;1246,148778
Italy;Bermuda;Import;  All Products;Import (US$ Thousand);7543,825;;12206,411;19066,106;15146,694;16334,872;619,142;9850,72;5234,32;23,281;19376,409;31129,216;16,96;3324,149;3015,84;58,989;408,603;299,247;24,104;10,617;33,13;8010,146751;96,62493848;104,9632757;78,71540055;88,9298558
Italy;Bhutan;Import;  All Products;Import (US$ Thousand);1,279;;;;;2,399;;8,936;;93,852;;40,775;14,289;1,711;3035,092;538,009;506,637;2414,382;3317,131;3135,583;7602,016;3784,940983;134,5485453;4084,84143;10608,7864;5793,356337
Italy;Bolivia;Import;  All Products;Import (US$ Thousand);11489,828;8275,187;14297,285;28785,306;26678,396;18017,022;23073,592;14957,523;19558,416;17766,937;22467,003;22578,393;34080,746;42947,048;54401,91;42728,045;44902,641;48369,589;39177,609;85560,105;70786,234;77349,22694;56200,66686;44276,34359;41756,75113;94913,8185
Italy;Bosnia and Herzegovina;Import;  All Products;Import (US$ Thousand);3076,622;16307,447;48457,044;88780,688;121149,04;179984,506;235861,656;242006,009;287513,182;359459,321;367132,014;420118,624;465886,756;561288,627;654997,081;500255,783;605733,464;687035,12;606224,507;737373,534;840592,473;735313,2278;752507,0481;744798,9814;935220,0946;743400,4672
Italy;Botswana;Import;  All Products;Import (US$ Thousand);;;;;;;4386,798;5902,252;3228,054;5018,045;4172,662;2643,21;2075,007;850,617;220,317;38,868;24,407;59,573;137,786;133,102;2223,447;11871,95959;9390,752803;1942,81423;4047,25997;389,567181
Italy;Bouvet Island;Import;  All Products;Import (US$ Thousand);;;;;;;;;;269,229;;;80,027;56,983;;;;;;;;;;;2720,879171;
Italy;Brazil;Import;  All Products;Import (US$ Thousand);1847776,384;2039076,736;1893980,8;1903502,336;2138546,432;1954494,474;2371656,561;2081376,764;2036770,505;2435908,679;3318542,655;3579501,626;4314488,782;5182538,976;5643845,7;3363284,529;4384219,732;5772623,011;4375767,532;4261362,184;4118219,645;3552067,552;3572872,015;3745325,115;3981535,238;3524883,46
Italy;British Indian Ocean Ter.;Import;  All Products;Import (US$ Thousand);;;2,735;;19,009;476,245;;;;;33,009;;135,834;21,968;133,802;;;49,541;4,475;;;8,486596314;;;;
Italy;British Virgin Islands;Import;  All Products;Import (US$ Thousand);96,372;;2198,267;8496,576;1352,366;40937,975;43909,446;8996,688;5781,84;8913,338;20746,073;34817,397;3574,208;22724,164;2134,36;3549,822;9497,25;44659,997;2468,177;30018,018;35944,051;12692,71805;7260,425357;17798,82603;20108,80206;9801,49648
Italy;Brunei;Import;  All Products;Import (US$ Thousand);1157,08;1966,46;1172,742;1049,172;585,712;238,165;548,334;565,799;174,919;108,332;653,963;172,298;184,301;71,474;349,418;147,936;525,111;737,255;165,107;791,152;1705,043;36,40440348;151,2983873;409,3971078;1520,037587;248,4046101
Italy;Bulgaria;Import;  All Products;Import (US$ Thousand);325100,096;504825,152;517181,184;607971,904;615504,64;563943,573;676323,523;846637,18;918900,697;1169180,045;1342791,987;1512536,446;1600723,717;1722061,766;1722343,803;1550634,548;2144143,324;2920349,867;2870094,552;3144204,596;3023048,924;2549582,922;2785008,883;2518475,872;2865311,24;2709992,478
Italy;Bunkers;Import;  All Products;Import (US$ Thousand);;;;;;;;;;;;;;;;;;;;;;;;0,986286713;;166,2259444
Italy;Burkina Faso;Import;  All Products;Import (US$ Thousand);13946,301;19967,392;16746,58;26826,564;29218,218;21805,851;23459,96;24073,004;21950,762;17489,91;16087,994;8921,712;10440,469;13160,79;11955,565;2673,49;6533,844;16252,024;3855,971;5257,487;20416,637;5877,906897;2773,523146;31797,54244;20719,67234;56588,11499
Italy;Burundi;Import;  All Products;Import (US$ Thousand);1895,714;1712,307;529,68;323,729;318,435;261,564;324,993;1285,273;247,83;1024,126;533,132;3395,023;3783,421;1013,779;1826,881;2885,46;1122,81;2909,598;1975,15;3768,579;3773,624;3544,675248;2097,821181;2169,365305;2086,235294;2061,972443
