Reporter Name;Partner Name;Trade Flow;Indicator;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Italy;Afghanistan;Import;Import Partner Share (%);0,0025;0,0003;0,0005;0,0005;0,0003;0,0002;0,0006;0,0003;0,0002;0,0002;0,0011;0,0005;0,0003;0,0001;0,0002;0,0001;0,0002;0,0003;0,001;0,0014;0,0014;0,0005;0,0003;0,0004;0,0006;0,0009
Italy;Albania;Import;Import Partner Share (%);0,0521;0,0578;0,0808;0,063;0,076;0,0765;0,0739;0,0964;0,1098;0,1133;0,1188;0,1141;0,117;0,1231;0,1256;0,1537;0,1572;0,1635;0,1915;0,2269;0,2437;0,2188;0,244;0,254;0,2627;0,2616
Italy;Algeria;Import;Import Partner Share (%);0,9686;1,1425;1,3037;1,4256;1,1872;0,4536;0,6064;0,4398;0,4531;0,5429;0,5253;0,4965;0,5013;0,2117;0,2739;2,0296;2,1936;2,0701;2,3706;1,7374;1,0744;0,8151;1,1639;1,2349;1,3419;1,0234
Italy;American Samoa;Import;Import Partner Share (%);;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Italy;Andorra;Import;Import Partner Share (%);0,001;0,0007;0,0008;0,0009;0,0007;0,001;0,0002;0,0007;0,0007;0,001;0,0011;0,0007;0,0003;0,0005;0,0004;0,0002;0,0001;0,0001;0,0005;0,0003;0,0002;0,0004;0,0001;0,0001;0,0001;0,0001
Italy;Angola;Import;Import Partner Share (%);0,0734;0,0572;0,0916;0,008;0,0253;0,0043;0,0084;0,0236;0,1173;0,0682;0,01;0,0218;0,0117;0,0382;0,0809;0,0089;0,0716;0,3701;0,1794;0,1503;0,26;0,2364;0,1112;0,0862;0,1038;0,1113
Italy;Anguila;Import;Import Partner Share (%);;;0;;;0;0;0;0;0;0;0,0001;;;;0;;0;;;;;;0;0;0
Italy;Antarctica;Import;Import Partner Share (%);;;;;;;0,0005;;;;;;;;;;;;;;;;;;;
Italy;Antigua and Barbuda;Import;Import Partner Share (%);0;;0,0015;0;0;0;0;0;0,0039;0,0012;0,0001;0,0038;0,0002;0,0001;0,0011;0,0009;0;0;0;0;0;0,0001;0;0;0,0001;0,0001
Italy;Argentina;Import;Import Partner Share (%);0,4147;0,4304;0,4086;0,4;0,3706;0,3676;0,3712;0,3828;0,4107;0,3732;0,3408;0,3074;0,2877;0,3067;0,358;0,3766;0,3511;0,3869;0,2697;0,2279;0,2472;0,2303;0,2669;0,2512;0,2392;0,233
Italy;Armenia;Import;Import Partner Share (%);0,0005;0,0006;0,0003;0,0003;0,0012;0,0005;0,0011;0,0028;0,0029;0,0035;0,0044;0,0039;0,0045;0,004;0,0031;0,0019;0,0028;0,0036;0,0035;0,0055;0,0081;0,0083;0,0082;0,0083;0,01;0,0124
Italy;Aruba;Import;Import Partner Share (%);0;0,0005;0,0032;0,0015;0,0012;0,0181;0,0008;0;0;0,0027;0,006;0;0,0059;0,0021;0,0029;0,0013;0,0004;0;0;0;0,0024;0;0;0;0,0001;0
Italy;Australia;Import;Import Partner Share (%);0,5441;0,5555;0,5671;0,5821;0,6563;0,4582;0,5274;0,5773;0,5011;0,416;0,3808;0,3743;0,3547;0,3435;0,312;0,2291;0,2293;0,2778;0,2015;0,164;0,143;0,1365;0,132;0,1491;0,1384;0,1197
Italy;Austria;Import;Import Partner Share (%);2,2395;2,3711;2,3076;2,2936;2,4028;2,4898;2,3234;2,451;2,7468;2,8478;2,7023;2,4921;2,5449;2,4305;2,2895;2,414;2,2993;2,3506;2,3629;2,4517;2,3087;2,2904;2,2921;2,3287;2,2596;2,3995
Italy;Azerbaijan;Import;Import Partner Share (%);0,0081;0,0099;0,006;0,0163;0,0097;0,0607;0,183;0,2568;0,2234;0,2411;0,1977;0,3161;0,653;0,7156;1,107;1,0912;1,4528;2,0518;1,8804;1,9091;1,5374;1,1691;0,7947;1,1537;1,3037;1,1572
Italy;Bahamas, The;Import;Import Partner Share (%);0,0019;0,0093;0,001;0,0003;0,0014;0,005;0,0074;0,0018;0,0035;0,011;0,0011;0,0018;0,0101;0,0012;0,0009;0,0008;0,0008;0,0005;0,0013;0,0016;0,001;0,0013;0,0005;0,0002;0,0003;0,0005
Italy;Bahrain;Import;Import Partner Share (%);0,0087;0,0106;0,0083;0,011;0,0245;0,0227;0,0181;0,0247;0,0192;0,0212;0,0129;0,0166;0,0108;0,0205;0,0201;0,012;0,0305;0,054;0,0425;0,0406;0,0207;0,0213;0,0335;0,0274;0,0664;0,0289
Italy;Bangladesh;Import;Import Partner Share (%);0,1325;0,1262;0,1121;0,1228;0,1262;0,1074;0,1183;0,1239;0,1076;0,0979;0,106;0,1018;0,1207;0,1039;0,1136;0,1507;0,149;0,1781;0,2024;0,2396;0,2961;0,3473;0,3597;0,3441;0,3282;0,3473
Italy;Barbados;Import;Import Partner Share (%);0,0002;0,0002;0,0004;0,0001;0,0003;0,0006;0,0006;0,001;0,0009;0,0004;0,0002;0,0002;0,0001;0,0001;0,0006;0,0004;0,0003;0,0001;0,0002;0,0001;0,0002;0,0002;0,0001;0,0001;0,0018;0,0001
Italy;Belarus;Import;Import Partner Share (%);0,0331;0,0416;0,0305;0,0317;0,0318;0,0291;0,0361;0,0352;0,0401;0,0323;0,0347;0,0351;0,0312;0,0296;0,0369;0,0278;0,02;0,0225;0,0463;0,0387;0,0407;0,0305;0,019;0,019;0,0197;0,0197
Italy;Belgium;Import;Import Partner Share (%);;;;;;4,2293;4,0298;4,3604;4,3393;4,2478;4,4109;4,437;4,1964;4,2675;3,7013;4,0143;3,631;3,6229;3,8249;4,1607;4,2254;4,6209;4,83;4,4197;4,5276;4,6639
Italy;Belgium-Luxembourg;Import;Import Partner Share (%);4,7448;4,8718;4,8025;4,6683;4,8148;;;;;;;;;;;;;;;;;;;;;
Italy;Belize;Import;Import Partner Share (%);0,0034;0,0034;0,0012;0,0011;0,0018;0,0058;0,0041;0,0013;0;0,0012;0,0001;0,0001;0;0;0,0036;0,0001;0;0;0,0004;0,0006;0,0038;0,0001;0,0037;0,0063;0;0,0009
Italy;Benin;Import;Import Partner Share (%);0,0075;0,0054;0,008;0,0089;0,007;0,0058;0,0177;0,0117;0,0108;0,0043;0,0014;0,0014;0,0009;0,0012;0,0007;0,0005;0,0024;0,0032;0,0008;0,0009;0,0008;0,0015;0,0019;0,0013;0,0006;0,0003
Italy;Bermuda;Import;Import Partner Share (%);0,0045;;0,0059;0,0092;0,007;0,0074;0,0003;0,0042;0,0021;0;0,0055;0,0081;0;0,0006;0,0005;0;0,0001;0,0001;0;0;0;0,0019;0;0;0;0
Italy;Bhutan;Import;Import Partner Share (%);0;;;;;0;;0;;0;;0;0;0;0,0005;0,0001;0,0001;0,0004;0,0007;0,0007;0,0016;0,0009;0;0,0009;0,0021;0,0012
Italy;Bolivia;Import;Import Partner Share (%);0,0068;0,0041;0,0069;0,0138;0,0124;0,0082;0,0097;0,0063;0,0079;0,006;0,0063;0,0059;0,0077;0,0084;0,0097;0,0103;0,0092;0,0087;0,008;0,0178;0,0149;0,0188;0,0138;0,0098;0,0083;0,02
Italy;Bosnia and Herzegovina;Import;Import Partner Share (%);0,0018;0,0081;0,0233;0,0426;0,0562;0,0818;0,0991;0,1025;0,1166;0,1209;0,1033;0,1092;0,1053;0,1097;0,1168;0,1206;0,1244;0,1229;0,1239;0,1538;0,1773;0,1789;0,185;0,1642;0,1857;0,1565
Italy;Botswana;Import;Import Partner Share (%);;;;;;;0,0018;0,0025;0,0013;0,0017;0,0012;0,0007;0,0005;0,0002;0;0;0;0;0;0;0,0005;0,0029;0,0023;0,0004;0,0008;0,0001
Italy;Bouvet Island;Import;Import Partner Share (%);;;;;;;;;;0,0001;;;0;0;;;;;;;;;;;0,0005;
Italy;Brazil;Import;Import Partner Share (%);1,1;1,0179;0,9101;0,9138;0,992;0,8882;0,9962;0,8815;0,8259;0,8191;0,9341;0,9301;0,9749;1,0126;1,0061;0,8109;0,9003;1,033;0,8946;0,889;0,8687;0,8644;0,8786;0,8257;0,7906;0,7421
Italy;British Indian Ocean Ter.;Import;Import Partner Share (%);;;0;;0;0,0002;;;;;0;;0;0;0;;;0;0;;;0;;;;
Italy;British Virgin Islands;Import;Import Partner Share (%);0,0001;;0,0011;0,0041;0,0006;0,0186;0,0184;0,0038;0,0023;0,003;0,0058;0,009;0,0008;0,0044;0,0004;0,0009;0,002;0,008;0,0005;0,0063;0,0076;0,0031;0,0018;0,0039;0,004;0,0021
